job,step,type,name,version,parameters
psipred,0,Dataset,uniref90,latest,"null"
psipred,0,Dataset,hhdb uniclust30,2018_08,"null"
psipred,0,Software,psiblast,2.2.26,"-a 2 -b 0 -j 20 -h 0.01 -I F"
psipred,0,Software,hhblits,2.0.16,"-iterations 3 -diff inf -cov 10 -Z 10000 -B 10000 -maxfilt 10000 -maxmem 5 -norealign"
psipred,1,Software,psipred,4.1,"null"
psipred,2,Software,psipass2,4.1,"null"
disopred,0,Dataset,uniref90,latest,"null"
disopred,0,Dataset,hhdb uniclust30,2018_08,"null"
disopred,0,Software,psiblast,2.2.26,"-a 2 -b 0 -j 20 -h 0.01 -I F"
disopred,0,Software,hhblits,2.0.16,"-iterations 3 -diff inf -cov 10 -Z 10000 -B 10000 -maxfilt 10000 -maxmem 5 -norealign"
disopred,1,Software,disopred2,2,"null"
disopred,2,Software,diso_neu_net,3,"null"
disopred,3,Software,diso_neighb,3,"null"
disopred,4,Software,svm_predict,3,"null"
